overall_rating,recommendation,outlook,ceo_rating,firm,worklife,culture_values,career,compensation,seniormanagement,year,former_current,job_title,auditor_city,duration,category,department,big 4
4,Missing,Missing,No opinion of CEO,ey,3.5,,3,4,3,2008,Current Employee,auditor,miami,Missing,unknown,audit,1
5,Recommends,Missing,Approves of CEO,ey,5,,5,5,5,2008,Current Employee,tax,tampa,Missing,unknown,tax,1
5,Recommends,Missing,Approves of CEO,ey,5,,5,4,5,2008,Current Employee,audit staff,tampa,Missing,associate,audit,1
3,Missing,Missing,Disapproves of CEO,ey,3,,3,3,2,2008,Current Employee,audit manager,fort lauderdale,Missing,manager,audit,1
4,Recommends,Missing,Approves of CEO,ey,4,,4,4,4,2008,Current Employee,advisory staff,tampa,Missing,associate,advisory,1
5,Recommends,Missing,Approves of CEO,ey,5,,5,4,5,2008,Current Employee,audit staff,tampa,Missing,associate,audit,1
5,Recommends,Missing,Approves of CEO,ey,5,,5,5,5,2008,Current Employee,tax staff,tampa,Missing,associate,tax,1
4,Recommends,Missing,No opinion of CEO,ey,4,,4,4,4,2009,Current Employee,senior auditor,fort lauderdale,Missing,associate,audit,1
5,Recommends,Missing,Approves of CEO,ey,4.5,,5,3.5,4.5,2010,Current Employee,anonymous employee,tampa,Missing,unknown,unknown,1
4,Recommends,Missing,Approves of CEO,ey,4,,4,4,4,2010,Current Employee,anonymous employee,orlando,Missing,unknown,unknown,1
4,Recommends,Missing,Approves of CEO,ey,4,,4,3.5,3.5,2011,Current Employee,audit senior,orlando,Missing,associate,audit,1
5,Recommends,Missing,Approves of CEO,ey,4,,4.5,3.5,4,2012,Current Employee,it audit staff,tampa,Missing,associate,other,1
3,Missing,Missing,No opinion of CEO,ey,3,,4,4,3.5,2012,Former Employee,staff auditor,miami,Missing,associate,audit,1
3,Recommends,Positive Outlook,Missing,ey,4,3,4,3,3,2012,Current Employee,senior consultant,tampa,More than a year,unknown,advisory,1
4,Recommends,Positive Outlook,Missing,ey,3,5,4,4,4,2012,Current Employee,senior auditor,tampa,Less than a year,associate,audit,1
4,Recommends,Neutral Outlook,Missing,ey,1,4,4,3,4,2012,Former Employee,it auditor,tampa,More than 3 years,associate,other,1
3,Recommends,Positive Outlook,Missing,ey,4,3,4,3,3,2012,Current Employee,senior consultant,tampa,More than a year,unknown,advisory,1
4,Recommends,Positive Outlook,Missing,ey,3,4,4,3,4,2013,Current Employee,senior associate,miami,More than 3 years,associate,unknown,1
5,Recommends,Positive Outlook,Missing,ey,4,5,5,4,4,2013,Current Employee,tax manager,boca raton,More than 5 years,manager,tax,1
4,Recommends,Neutral Outlook,Missing,ey,3,4,4,3,4,2013,Current Employee,senior associate,tampa,More than a year,associate,unknown,1
4,Recommends,Neutral Outlook,Missing,ey,3,4,4,4,3,2013,Current Employee,audit staff,miami,More than a year,associate,audit,1
4,Recommends,Positive Outlook,Missing,ey,3,5,5,4,5,2013,Current Employee,tax senior ii,tampa,More than 3 years,associate,tax,1
2,Doesn't Recommend,Positive Outlook,Missing,ey,4,3,3,4,1,2013,Current Employee,senior advisor,orlando,More than a year,associate,advisory,1
5,Recommends,Positive Outlook,Missing,ey,3,4,4,3,4,2013,Current Employee,senior consultant,miami,More than a year,unknown,advisory,1
1,Recommends,Neutral Outlook,Missing,ey,3,3,2,4,1,2013,Former Employee,senior consultant,tampa,More than a year,unknown,advisory,1
4,Recommends,Neutral Outlook,Missing,ey,2,4,4,2,3,2013,Current Employee,senior assurance associate,tampa,More than a year,associate,audit,1
5,Recommends,Positive Outlook,Missing,ey,4,5,5,5,4,2014,Current Employee,"level ii service desk , remote services",orlando,More than 10 years,,other,1
5,Recommends,Positive Outlook,Missing,ey,4,4,5,4,4,2014,Former Employee,senior consultant,miami,More than 10 years,unknown,advisory,1
2,Doesn't Recommend,Neutral Outlook,Missing,ey,1,2,3,4,1,2014,Former Employee,advisory staff i,tampa,More than a year,associate,advisory,1
5,Recommends,Positive Outlook,Missing,ey,3,4,3,3,3,2015,Former Employee,cpa,miami,More than 5 years,unknown,audit,1
3,Missing,Missing,No opinion of CEO,ey,1,2,3,5,2,2015,Current Employee,executive assistant,tampa,Less than a year,staff,other,1
4,Recommends,Positive Outlook,Missing,ey,2,5,4,5,4,2015,Current Employee,it audit staff,boca raton,More than a year,associate,other,1
4,Recommends,Positive Outlook,Missing,ey,2,4,5,4,3,2015,Former Employee,audit senior,miami,More than a year,associate,audit,1
2,Doesn't Recommend,Negative Outlook,Missing,ey,2,3,3,1,2,2015,Current Employee,assurance services senior,miami,More than 3 years,associate,audit,1
2,Doesn't Recommend,Positive Outlook,Missing,ey,2,3,3,4,3,2015,Former Employee,anonymous employee,miami,Missing,unknown,unknown,1
4,Recommends,Positive Outlook,Missing,ey,3,5,5,4,3,2015,Current Employee,senior auditor,jacksonville,More than 3 years,associate,audit,1
4,Recommends,Neutral Outlook,Missing,ey,3,5,5,4,3,2016,Former Employee,advisory manager,miami,Missing,manager,advisory,1
4,Recommends,Positive Outlook,Missing,ey,3,4,3,2,4,2016,Current Employee,vice president/director of programming,boca raton,More than 10 years,director,other,1
5,Recommends,Positive Outlook,Missing,ey,4,5,5,4,5,2016,Former Employee,senior manager,jacksonville,Less than a year,manager,unknown,1
1,Doesn't Recommend,Positive Outlook,Missing,ey,1,3,5,1,3,2016,Current Employee,audit manager,tampa,More than 5 years,manager,audit,1
2,,,,ey,1,4,5,3,2,2016,Current Employee,anonymous employee,tampa,Less than a year,unknown,audit,1
5,Recommends,Positive Outlook,Missing,ey,5,5,5,5,5,2016,Former Employee,anonymous employee,miami,Missing,unknown,unknown,1
4,Recommends,Positive Outlook,Missing,ey,3,5,5,4,4,2016,Current Employee,audit senior,boca raton,More than a year,associate,audit,1
4,Missing,Positive Outlook,Missing,ey,3,5,4,4,3,2016,Current Employee,senior consultant,jacksonville,Less than a year,unknown,advisory,1
4,Recommends,Positive Outlook,Missing,ey,3,5,5,4,3,2016,Current Employee,assistant director,miami,More than a year,director,unknown,1
5,Recommends,Positive Outlook,Missing,ey,3,5,5,4,4,2016,Current Employee,senior iii,orlando,More than 3 years,associate,unknown,1
3,Recommends,Positive Outlook,Missing,ey,1,5,4,5,3,2016,Current Employee,senior consultant,tampa,More than 3 years,unknown,advisory,1
4,,,,ey,3,5,4,4,,2016,Former Employee,anonymous employee,orlando,Less than a year,unknown,unknown,1
1,Doesn't Recommend,Neutral Outlook,Missing,ey,5,2,2,2,2,2017,Former Employee,associate,jacksonville,More than a year,associate,unknown,1
3,Doesn't Recommend,Neutral Outlook,Missing,ey,1,2,3,3,3,2017,Current Employee,anonymous employee,miami,Missing,unknown,unknown,1
5,Recommends,Positive Outlook,Missing,ey,5,5,5,4,5,2017,Current Employee,audit senior,jacksonville,More than 3 years,associate,audit,1
1,Doesn't Recommend,Negative Outlook,Missing,ey,2,1,1,4,1,2017,Current Employee,anonymous employee,jacksonville,Missing,unknown,unknown,1
4,Recommends,Positive Outlook,Missing,ey,2,5,5,3,5,2017,Current Employee,tax staff,tampa,More than a year,associate,tax,1
3,Doesn't Recommend,Neutral Outlook,Missing,ey,1,2,2,2,2,2017,Current Employee,senior,tampa,More than 3 years,associate,unknown,1
3,Doesn't Recommend,Neutral Outlook,Missing,ey,4,5,1,2,4,2017,Current Employee,associate analyst,jacksonville,More than a year,analyst,unknown,1
5,Recommends,Positive Outlook,Missing,ey,2,5,5,4,4,2017,Current Employee,manager,orlando,More than 3 years,manager,unknown,1
5,Recommends,Missing,Approves of CEO,pwc,5,,5,4.5,5,2008,Current Employee,senior associate,tampa,Missing,associate,unknown,1
3,Recommends,Missing,No opinion of CEO,pwc,1,,4,3,4,2008,Current Employee,audit senior associate,tampa,Missing,associate,audit,1
4,Recommends,Missing,No opinion of CEO,pwc,4,,5,3.5,5,2008,Current Employee,audit associate,fort lauderdale,Missing,associate,audit,1
4,Recommends,Missing,Approves of CEO,pwc,4.5,,3.5,3,4,2008,Current Employee,researcher,tampa,Missing,,advisory,1
1,Doesn't Recommend,Missing,Disapproves of CEO,pwc,1,,1,3,1,2008,Former Employee,assurance associate,miami,Missing,associate,audit,1
4,Recommends,Missing,Approves of CEO,pwc,4,,4,4.5,4,2008,Current Employee,tax senior associate,tampa,Missing,associate,tax,1
4,Recommends,Missing,Approves of CEO,pwc,4.5,,4,4,4,2008,Current Employee,audit senior associate,miami,Missing,associate,audit,1
4,Recommends,Missing,Approves of CEO,pwc,5,,3.5,4,4,2008,Current Employee,it project manager,tampa,Missing,unknown,other,1
4,Recommends,Missing,Approves of CEO,pwc,4,,4.5,4,4,2008,Current Employee,audit senior associate,miami,Missing,associate,audit,1
3,Missing,Missing,Approves of CEO,pwc,4.5,,4,4,4,2008,Current Employee,audit associate,fort lauderdale,Missing,associate,audit,1
4,Recommends,Missing,No opinion of CEO,pwc,4,,4,5,4.5,2008,Current Employee,gfs support specialist,tampa,Missing,,unknown,1
4,Recommends,Missing,No opinion of CEO,pwc,3,,4,4.5,4,2008,Former Employee,auditor,tampa,Missing,unknown,audit,1
4,Recommends,Missing,Approves of CEO,pwc,4,,5,5,4,2008,Current Employee,principal consultant,tampa,Missing,unknown,advisory,1
3,Missing,Missing,No opinion of CEO,pwc,3,,4,3,3.5,2009,Current Employee,anonymous employee,miami,Missing,unknown,unknown,1
4,Recommends,Missing,No opinion of CEO,pwc,3.5,,4.5,5,2,2009,Current Employee,it manager,tampa,Missing,manager,other,1
3,Recommends,Missing,No opinion of CEO,pwc,2,,4,3,3,2009,Current Employee,assurance associate,miami,Missing,associate,audit,1
2,Doesn't Recommend,Missing,No opinion of CEO,pwc,4,,2,3.5,1,2009,Current Employee,it manager,tampa,Missing,manager,other,1
4,Missing,Missing,Approves of CEO,pwc,3,,4,4,4,2009,Current Employee,senior manager,miami,Missing,manager,unknown,1
3,Recommends,Missing,No opinion of CEO,pwc,2.5,,4,2.5,4,2009,Current Employee,anonymous employee,miami,Missing,unknown,unknown,1
4,Missing,Missing,Approves of CEO,pwc,2,,4,3,4.5,2009,Current Employee,audit associate,miami,Missing,associate,audit,1
3,Missing,Missing,No opinion of CEO,pwc,1,,4,5,4,2009,Current Employee,associate,tampa,Missing,associate,unknown,1
2,Doesn't Recommend,Missing,No opinion of CEO,pwc,2.5,,1.5,4,1,2009,Former Employee,manager,tampa,Missing,manager,audit,1
3,Missing,Missing,Approves of CEO,pwc,2,,4,2,3.5,2010,Former Employee,auditor,tampa,Missing,unknown,audit,1
3,Doesn't Recommend,Missing,No opinion of CEO,pwc,1.5,,4,2,2.5,2010,Current Employee,senior associate,miami,Missing,associate,unknown,1
3,Missing,Missing,No opinion of CEO,pwc,2,,3,4,2.5,2010,Current Employee,anonymous employee,tampa,Missing,unknown,unknown,1
2,Doesn't Recommend,Missing,Disapproves of CEO,pwc,2.5,,2.5,2.5,1,2010,Former Employee,senior associate - it quality,tampa,Missing,associate,other,1
2,Doesn't Recommend,Missing,Disapproves of CEO,pwc,4,,3,2.5,2,2010,Current Employee,us it manager,tampa,Missing,manager,other,1
1,Doesn't Recommend,Missing,Disapproves of CEO,pwc,1,,1,1,1,2010,Former Employee,anonymous employee,tampa,Missing,unknown,unknown,1
2,Missing,Missing,No opinion of CEO,pwc,4.5,,1.5,4,1,2010,Former Employee,level ii it support specialist,tampa,Missing,unknown,other,1
2,Doesn't Recommend,Missing,No opinion of CEO,pwc,2.5,,2,3,2,2010,Current Employee,anonymous employee,tampa,Missing,unknown,unknown,1
5,Recommends,Missing,Approves of CEO,pwc,5,,5,5,5,2010,Current Employee,manager i,tampa,Missing,manager,unknown,1
1,Doesn't Recommend,Missing,Disapproves of CEO,pwc,1.5,,1,3.5,1,2010,Former Employee,anonymous employee,tampa,Missing,unknown,unknown,1
3,Missing,Missing,No opinion of CEO,pwc,2,,3.5,2.5,2.5,2010,Current Employee,anonymous employee,tampa,Missing,unknown,unknown,1
3,Missing,Missing,No opinion of CEO,pwc,3,,2.5,3,2,2010,Current Employee,senior associate,fort lauderdale,Missing,associate,unknown,1
4,Recommends,Missing,No opinion of CEO,pwc,4.5,,2.5,3.5,2.5,2010,Current Employee,manager,tampa,Missing,manager,unknown,1
4,Missing,Missing,Approves of CEO,pwc,3.5,,3,3,2,2010,Current Employee,anonymous employee,tampa,Missing,unknown,unknown,1
5,Recommends,Missing,No opinion of CEO,pwc,4.5,,5,4,5,2010,Current Employee,anonymous employee,tampa,Missing,unknown,unknown,1
3,Doesn't Recommend,Missing,Approves of CEO,pwc,3.5,,5,5,2,2010,Former Employee,senior it manager,tampa,Missing,manager,other,1
3,Missing,Missing,Approves of CEO,pwc,3,,2,2.5,1,2010,Current Employee,senior manager,tampa,Missing,manager,unknown,1
4,Missing,Missing,Approves of CEO,pwc,3,,3,4.5,2,2010,Current Employee,us it manager,tampa,Missing,manager,other,1
3,Missing,Missing,No opinion of CEO,pwc,4,,2,5,2,2010,Former Employee,enterprise architect,tampa,Missing,,other,1
3,Missing,Missing,No opinion of CEO,pwc,3,,2.5,2,3,2010,Current Employee,enterprise architect,tampa,Missing,,other,1
2,Doesn't Recommend,Missing,No opinion of CEO,pwc,3.5,,2.5,3.5,1,2010,Current Employee,us it,tampa,Missing,unknown,other,1
2,Doesn't Recommend,Missing,No opinion of CEO,pwc,1.5,,2,3,2,2010,Current Employee,human resource advisor,tampa,Missing,unknown,advisory,1
1,Doesn't Recommend,Missing,Disapproves of CEO,pwc,2.5,,1,1,3,2011,Former Employee,manager,tampa,Missing,manager,unknown,1
4,Recommends,Missing,Approves of CEO,pwc,4.5,,4,5,4,2011,Current Employee,anonymous employee,tampa,Missing,unknown,unknown,1
4,Missing,Missing,Disapproves of CEO,pwc,4.5,,3.5,4,3.5,2011,Former Employee,anonymous employee,tampa,Missing,unknown,unknown,1
2,Doesn't Recommend,Missing,Disapproves of CEO,pwc,5,,2,3.5,2,2011,Former Employee,anonymous employee,tampa,Missing,unknown,unknown,1
2,Doesn't Recommend,Missing,No opinion of CEO,pwc,3,,2,2.5,2,2011,Current Employee,manager,tampa,Missing,manager,unknown,1
5,Recommends,Missing,No opinion of CEO,pwc,5,,5,5,5,2011,Former Employee,anonymous employee,tampa,Missing,unknown,unknown,1
5,Recommends,Missing,No opinion of CEO,pwc,5,,5,5,5,2011,Current Employee,manager,tampa,Missing,manager,unknown,1
5,Recommends,Missing,Approves of CEO,pwc,4.5,,5,4.5,4.5,2011,Former Employee,anonymous employee,miami,Missing,unknown,unknown,1
1,Doesn't Recommend,Missing,Disapproves of CEO,pwc,1,,1,3,1,2011,Current Employee,manager,tampa,Missing,manager,unknown,1
3,Missing,Missing,Approves of CEO,pwc,3,,4,2.5,4,2011,Current Employee,audit senior associate,miami,Missing,associate,audit,1
4,Recommends,Missing,No opinion of CEO,pwc,5,,3,5,1.5,2011,Former Employee,senior manager us it,tampa,Missing,,other,1
4,Recommends,Missing,Approves of CEO,pwc,4,,4,3.5,3.5,2012,Current Employee,manager,tampa,Missing,manager,unknown,1
3,,,,pwc,5,5,,3,,2012,Former Employee,senior manager,tampa,More than 10 years,manager,unknown,1
4,Recommends,Missing,Approves of CEO,pwc,3.5,,3.5,3.5,4.5,2012,Current Employee,systems analyst,tampa,Missing,analyst,other,1
5,Recommends,Positive Outlook,Missing,pwc,3,5,5,5,4,2012,Current Employee,it manager,tampa,More than 10 years,manager,other,1
5,Recommends,Positive Outlook,Missing,pwc,5,4,4,4,5,2012,Current Employee,applications engineer ii,tampa,Less than a year,unknown,other,1
3,Recommends,Missing,No opinion of CEO,pwc,3,,3.5,3,3,2012,Current Employee,associate,tampa,Missing,associate,unknown,1
3,,,,pwc,1,,3,,,2012,Former Employee,assurance associate,orlando,More than a year,associate,audit,1
3,Doesn't Recommend,Neutral Outlook,Missing,pwc,1,3,4,3,2,2012,Current Employee,tax manager,tampa,More than 5 years,manager,tax,1
3,Doesn't Recommend,Neutral Outlook,Missing,pwc,3,3,3,3,3,2012,Former Employee,it manager,tampa,More than 8 years,manager,other,1
3,Recommends,Neutral Outlook,Missing,pwc,2,4,3,4,3,2012,Former Employee,technical lead,tampa,More than 8 years,,other,1
4,Recommends,Positive Outlook,Missing,pwc,3,5,5,3,4,2013,Former Employee,assurance specialist,tampa,Less than a year,unknown,audit,1
4,Recommends,Neutral Outlook,Missing,pwc,3,3,4,4,3,2013,Former Employee,program manager,tampa,More than 10 years,,unknown,1
4,Doesn't Recommend,Neutral Outlook,Missing,pwc,4,3,3,4,4,2013,Current Employee,it senior associate,tampa,More than 10 years,associate,other,1
2,Doesn't Recommend,Positive Outlook,Missing,pwc,1,1,4,4,1,2013,Former Employee,human resources manager,tampa,Less than a year,manager,other,1
1,Doesn't Recommend,Negative Outlook,Missing,pwc,1,1,3,2,1,2013,Current Employee,audit senior associate,fort lauderdale,More than 5 years,associate,audit,1
5,Doesn't Recommend,Neutral Outlook,Missing,pwc,5,3,3,5,3,2013,Current Employee,anonymous employee,tampa,More than 10 years,unknown,unknown,1
5,Recommends,Neutral Outlook,Missing,pwc,3,4,4,5,3,2013,Current Employee,us it infrastructure lead manager ii,tampa,More than 10 years,manager,other,1
3,Recommends,Positive Outlook,Missing,pwc,3,5,5,3,3,2013,Current Employee,tax associate,miami,More than a year,associate,tax,1
4,Recommends,Positive Outlook,Missing,pwc,5,5,3,4,4,2013,Current Employee,finance associate,tampa,More than 3 years,associate,advisory,1
5,Recommends,Positive Outlook,Missing,pwc,4,5,5,5,5,2013,Current Employee,tax associate,jacksonville,Less than a year,associate,tax,1
1,Recommends,Negative Outlook,Missing,pwc,4,4,2,1,3,2013,Former Employee,process specialist,tampa,More than a year,,unknown,1
3,Doesn't Recommend,Negative Outlook,Missing,pwc,3,5,2,4,2,2013,Former Employee,process specialist,tampa,Less than a year,,unknown,1
4,Recommends,Positive Outlook,Missing,pwc,2,4,3,3,4,2013,Current Employee,process specialist,tampa,More than a year,,unknown,1
4,Recommends,Positive Outlook,Missing,pwc,2,5,3,3,2,2013,Current Employee,audit staff,tampa,More than 3 years,associate,audit,1
4,Recommends,Positive Outlook,Missing,pwc,3,3,4,4,4,2013,Current Employee,experienced audit associate (3+),miami,Less than a year,associate,audit,1
3,Recommends,Neutral Outlook,Missing,pwc,3,4,3,4,1,2013,Current Employee,it manager,tampa,More than 8 years,manager,other,1
4,Recommends,Positive Outlook,Missing,pwc,2,4,5,3,4,2013,Former Employee,audit senior associate,miami,More than 5 years,associate,audit,1
5,Recommends,Positive Outlook,Missing,pwc,5,5,5,5,4,2013,Former Employee,project manager,tampa,More than 8 years,,unknown,1
3,Recommends,Neutral Outlook,Missing,pwc,2,5,5,3,3,2014,Current Employee,assurance process specialist,tampa,More than a year,unknown,audit,1
4,Recommends,Neutral Outlook,Missing,pwc,4,4,3,3,4,2014,Former Employee,anonymous employee,tampa,More than a year,unknown,audit,1
3,Recommends,Negative Outlook,Missing,pwc,4,2,2,4,2,2014,Current Employee,financial analyst,tampa,More than 3 years,analyst,advisory,1
5,Recommends,Positive Outlook,Missing,pwc,3,4,4,3,3,2014,Former Employee,senior associate - ifs,tampa,More than 8 years,,other,1
4,Recommends,Neutral Outlook,Missing,pwc,5,2,4,5,3,2014,Current Employee,director,tampa,More than 10 years,director,unknown,1
3,Doesn't Recommend,Positive Outlook,Missing,pwc,4,3,3,5,2,2014,Current Employee,proposasl writer,tampa,More than 5 years,,unknown,1
2,Doesn't Recommend,Neutral Outlook,Missing,pwc,1,2,3,5,1,2014,Former Employee,hrssc employee,tampa,More than a year,unknown,other,1
1,Doesn't Recommend,Positive Outlook,Missing,pwc,1,5,1,1,3,2014,Former Employee,tax process specialist,tampa,More than 3 years,unknown,tax,1
4,Recommends,Positive Outlook,Missing,pwc,3,5,5,2,4,2014,Current Employee,risk assurance manager,tampa,More than 8 years,manager,advisory,1
4,Recommends,Neutral Outlook,Missing,pwc,4,5,4,3,4,2014,Former Employee,relationship manager,tampa,More than 10 years,,other,1
